FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0003,-80.577366,28.5618571
2,2012-05-22,Falcon 9,525.0,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0005,-80.577366,28.5618571
3,2013-03-01,Falcon 9,677.0,ISS,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0007,-80.577366,28.5618571
4,2013-09-29,Falcon 9,500.0,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1,0,B1003,-120.610829,34.632093
5,2013-12-03,Falcon 9,3170.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1004,-80.577366,28.5618571
6,2014-01-06,Falcon 9,3325.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1005,-80.577366,28.5618571
7,2014-04-18,Falcon 9,2296.0,ISS,CCSFS SLC 40,True Ocean,1,False,False,True,,1,0,B1006,-80.577366,28.5618571
8,2014-07-14,Falcon 9,1316.0,LEO,CCSFS SLC 40,True Ocean,1,False,False,True,,1,0,B1007,-80.577366,28.5618571
9,2014-08-05,Falcon 9,4535.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1008,-80.577366,28.5618571
10,2014-09-07,Falcon 9,4428.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1011,-80.577366,28.5618571
11,2014-09-21,Falcon 9,2216.0,ISS,CCSFS SLC 40,False Ocean,1,False,False,False,,1,0,B1010,-80.577366,28.5618571
12,2015-01-10,Falcon 9,2395.0,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571
13,2015-02-11,Falcon 9,570.0,ES-L1,CCSFS SLC 40,True Ocean,1,True,False,True,,1,0,B1013,-80.577366,28.5618571
14,2015-04-14,Falcon 9,1898.0,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571
15,2015-04-27,Falcon 9,4707.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1016,-80.577366,28.5618571
16,2015-06-28,Falcon 9,2477.0,ISS,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571
17,2015-12-22,Falcon 9,2034.0,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571
18,2016-01-17,Falcon 9,553.0,PO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093
19,2016-03-04,Falcon 9,5271.0,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571
20,2016-04-08,Falcon 9,3136.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571
21,2016-05-06,Falcon 9,4696.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571
22,2016-05-27,Falcon 9,3100.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571
23,2016-07-18,Falcon 9,2257.0,ISS,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571
24,2016-08-14,Falcon 9,4600.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571
25,2016-09-01,Falcon 9,5500.0,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
26,2017-01-14,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093
27,2017-02-19,Falcon 9,2490.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585
28,2017-03-16,Falcon 9,5600.0,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1030,-80.6039558,28.6080585
29,2017-03-30,Falcon 9,5300.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585
30,2017-05-01,Falcon 9,6123.547647058824,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585
31,2017-05-15,Falcon 9,6070.0,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1034,-80.6039558,28.6080585
32,2017-06-03,Falcon 9,2708.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585
33,2017-06-23,Falcon 9,3669.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585
34,2017-06-25,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093
35,2017-07-05,Falcon 9,6761.0,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1037,-80.6039558,28.6080585
36,2017-08-14,Falcon 9,2910.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585
37,2017-08-24,Falcon 9,475.0,SSO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093
38,2017-09-07,Falcon 9,4990.0,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585
39,2017-10-09,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093
40,2017-10-11,Falcon 9,5200.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585
41,2017-10-30,Falcon 9,3700.0,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585
42,2017-12-15,Falcon 9,2205.0,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571
43,2017-12-23,Falcon 9,9600.0,PO,VAFB SLC 4E,True Ocean,2,True,True,False,,3,1,B1036,-120.610829,34.632093
44,2018-01-08,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571
45,2018-01-31,Falcon 9,4230.0,GTO,CCSFS SLC 40,True Ocean,2,True,True,True,,3,1,B1032,-80.577366,28.5618571
46,2018-03-06,Falcon 9,6092.0,GTO,CCSFS SLC 40,None None,1,True,False,True,,4,0,B1044,-80.577366,28.5618571
47,2018-03-30,Falcon 9,9600.0,PO,VAFB SLC 4E,None None,2,True,True,True,,4,1,B1041,-120.610829,34.632093
48,2018-04-02,Falcon 9,2760.0,ISS,CCSFS SLC 40,None None,2,True,True,True,,4,1,B1039,-80.577366,28.5618571
49,2018-04-18,Falcon 9,350.0,HEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,1,B1045,-80.577366,28.5618571
50,2018-05-11,Falcon 9,3750.0,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.6039558,28.6080585
51,2018-06-04,Falcon 9,5383.85,GTO,CCSFS SLC 40,None None,2,False,True,False,,4,1,B1040,-80.577366,28.5618571
52,2018-06-29,Falcon 9,2410.0,ISS,CCSFS SLC 40,None None,2,False,True,False,,4,1,B1045,-80.577366,28.5618571
53,2018-07-22,Falcon 9,7076.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571
54,2018-07-25,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,4,B1048,-120.610829,34.632093
55,2018-08-07,Falcon 9,5800.0,GTO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.577366,28.5618571
56,2018-09-10,Falcon 9,7060.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
57,2018-10-08,Falcon 9,2800.0,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,4,B1048,-120.610829,34.632093
58,2018-11-15,Falcon 9,3000.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.6039558,28.6080585
59,2018-12-03,Falcon 9,4000.0,SSO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,3,B1046,-120.610829,34.632093
60,2018-12-05,Falcon 9,2573.0,ISS,CCSFS SLC 40,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5,0,B1050,-80.577366,28.5618571
61,2018-12-23,Falcon 9,4400.0,MEO,CCSFS SLC 40,None None,1,False,False,False,,5,0,B1054,-80.577366,28.5618571
62,2019-01-11,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-120.610829,34.632093
63,2019-03-02,Falcon 9,12259.0,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
64,2019-05-04,Falcon 9,2482.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
65,2019-05-24,Falcon 9,13200.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
66,2019-06-12,Falcon 9,1425.0,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,12,B1051,-120.610829,34.632093
67,2019-07-25,Falcon 9,2227.7,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,3,B1056,-80.577366,28.5618571
68,2019-08-06,Falcon 9,6500.0,GTO,CCSFS SLC 40,None None,3,False,True,False,,5,2,B1047,-80.577366,28.5618571
69,2019-11-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
70,2019-12-05,Falcon 9,5000.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
71,2019-12-17,Falcon 9,6800.0,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
72,2020-01-07,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
73,2020-01-19,Falcon 9,6123.547647058824,SO,KSC LC 39A,None None,4,False,True,False,,5,3,B1046,-80.6039558,28.6080585
74,2020-01-29,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
75,2020-02-17,Falcon 9,15600.0,VLEO,CCSFS SLC 40,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
76,2020-03-07,Falcon 9,1977.0,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
77,2020-03-18,Falcon 9,15600.0,VLEO,KSC LC 39A,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.6039558,28.6080585
78,2020-04-22,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
79,2020-05-30,Falcon 9,9525.0,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
80,2020-06-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
81,2020-06-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
82,2020-06-30,Falcon 9,3880.0,MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
83,2020-07-20,Falcon 9,6123.547647058824,GEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
84,2020-08-18,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
85,2020-08-30,Falcon 9,1600.0,SSO,CCSFS SLC 40,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
86,2020-09-03,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
87,2020-10-06,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
88,2020-10-18,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
89,2020-10-24,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
90,2020-11-05,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.577366,28.5618571
91,,,6123.547647058824,,Kwajalein Atoll,,,,,,,,,,167.7431292,9.0477206
92,,,6123.547647058824,,Kwajalein Atoll,,,,,,,,,,167.7431292,9.0477206
93,,,6123.547647058824,,Kwajalein Atoll,,,,,,,,,,167.7431292,9.0477206
94,,,6123.547647058824,,Kwajalein Atoll,,,,,,,,,,167.7431292,9.0477206
95,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
96,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
97,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
98,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
99,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
100,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
101,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
102,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
103,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
104,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
105,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
106,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
107,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
108,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
109,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
110,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
111,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
112,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
113,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
114,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
115,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
116,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
117,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
118,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
119,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
120,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
121,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
122,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
123,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
124,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
125,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
126,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
127,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
128,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
129,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
130,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
131,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
132,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
133,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
134,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
135,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
136,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
137,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
138,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
139,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
140,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
141,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
142,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
143,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
144,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
145,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
146,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
147,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
148,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
149,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
150,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
151,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
152,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
153,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
154,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
155,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
156,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
157,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
158,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
159,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
160,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
161,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
162,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
163,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
164,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
165,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
166,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
167,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
168,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
169,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
170,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
171,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
172,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
173,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
174,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
175,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
176,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
177,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
178,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
179,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
180,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
181,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
182,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
183,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
184,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
